split_id,region,pixels,positives,roc_auc,average_precision,top1_selected_pixels,top1_captured_positives,top1_recall,top1_precision,top1_enrichment,top5_selected_pixels,top5_captured_positives,top5_recall,top5_precision,top5_enrichment,top10_selected_pixels,top10_captured_positives,top10_recall,top10_precision,top10_enrichment
1,validation,529921,16,0.8437974141591417,0.0008538495840483772,5300,3,0.1875,0.0005660377358490566,18.75,26497,8,0.5,0.00030192097218553044,10.0,52993,9,0.5625,0.00016983375162757345,5.625
1,holdout,356915,5,0.9705925863663107,0.00026876738851533454,3570,0,0.0,0.0,0.0,17846,5,1.0,0.00028017482909335425,20.0,35692,5,1.0,0.00014008741454667713,10.0
2,validation,538756,14,0.8071482135366146,0.00033813031980737754,5388,2,0.14285714285714285,0.0003711952487008166,14.285714285714285,26938,7,0.5,0.0002598559655505234,10.0,53876,10,0.7142857142857143,0.0001856114039646596,7.142857142857142
2,holdout,356915,5,0.935109131153512,0.00012213588263301124,3570,0,0.0,0.0,0.0,17846,1,0.2,5.603496581867085e-05,4.0,35692,5,1.0,0.00014008741454667713,10.0
3,validation,538756,8,0.9926208542769533,0.0021783438252237827,5388,6,0.75,0.0011135857461024498,75.0,26938,8,1.0,0.00029697824634345533,20.0,53876,8,1.0,0.00014848912317172767,10.0
3,holdout,356915,5,0.9449603541509062,0.00016107108564040437,3570,0,0.0,0.0,0.0,17846,2,0.4,0.0001120699316373417,8.0,35692,5,1.0,0.00014008741454667713,10.0
4,validation,524812,24,0.8797990410730937,0.0010498755433246672,5249,6,0.25,0.001143074871404077,25.0,26241,20,0.8333333333333334,0.0007621660759879578,16.666666666666668,52482,20,0.8333333333333334,0.0003810830379939789,8.333333333333334
4,holdout,356915,5,0.9749970580818694,0.00032109377978645204,3570,0,0.0,0.0,0.0,17846,5,1.0,0.00028017482909335425,20.0,35692,5,1.0,0.00014008741454667713,10.0
5,validation,538756,4,0.9982561549655499,0.018311013462029964,5388,4,1.0,0.0007423904974016332,100.0,26938,4,1.0,0.00014848912317172767,20.0,53876,4,1.0,7.424456158586383e-05,10.0
5,holdout,356915,5,0.9508979854865373,0.0001941891902939111,3570,0,0.0,0.0,0.0,17846,2,0.4,0.0001120699316373417,8.0,35692,5,1.0,0.00014008741454667713,10.0
6,validation,529921,16,0.799883823515536,0.0007568301718570706,5300,2,0.125,0.0003773584905660377,12.5,26497,4,0.25,0.00015096048609276522,5.0,52993,7,0.4375,0.00013209291793255714,4.375
6,holdout,378338,12,0.389447526736201,3.0569453295011185e-05,3784,0,0.0,0.0,0.0,18917,1,0.08333333333333333,5.2862504625469154e-05,1.6666666666666665,37834,1,0.08333333333333333,2.6431252312734577e-05,0.8333333333333333
7,validation,538756,14,0.8860645991693878,0.0003082199360402954,5388,3,0.21428571428571427,0.0005567928730512249,21.428571428571427,26938,5,0.35714285714285715,0.0001856114039646596,7.142857142857142,53876,8,0.5714285714285714,0.00014848912317172767,5.7142857142857135
7,holdout,378338,12,0.3415377875165862,2.7547085022007127e-05,3784,0,0.0,0.0,0.0,18917,1,0.08333333333333333,5.2862504625469154e-05,1.6666666666666665,37834,1,0.08333333333333333,2.6431252312734577e-05,0.8333333333333333
8,validation,538756,8,0.9902802423396468,0.002573154962944634,5388,5,0.625,0.0009279881217520415,62.5,26938,8,1.0,0.00029697824634345533,20.0,53876,8,1.0,0.00014848912317172767,10.0
8,holdout,378338,12,0.44861155899057076,9.755285159980335e-05,3784,1,0.08333333333333333,0.0002642706131078224,8.333333333333332,18917,1,0.08333333333333333,5.2862504625469154e-05,1.6666666666666665,37834,1,0.08333333333333333,2.6431252312734577e-05,0.8333333333333333
9,validation,538756,4,0.9957721734675693,0.0016360888591760978,5388,3,0.75,0.0005567928730512249,75.0,26938,4,1.0,0.00014848912317172767,20.0,53876,4,1.0,7.424456158586383e-05,10.0
9,holdout,378338,12,0.4250475559878693,5.7730905794344984e-05,3784,1,0.08333333333333333,0.0002642706131078224,8.333333333333332,18917,2,0.16666666666666666,0.00010572500925093831,3.333333333333333,37834,2,0.16666666666666666,5.2862504625469154e-05,1.6666666666666665
10,validation,529921,16,0.7881893924382672,0.0006912268709199846,5300,2,0.125,0.0003773584905660377,12.5,26497,3,0.1875,0.00011322036456957391,3.75,52993,8,0.5,0.0001509633347800653,5.0
10,holdout,375951,12,0.5701374868440535,4.358898357453873e-05,3760,0,0.0,0.0,0.0,18798,1,0.08333333333333333,5.319714863283328e-05,1.6666666666666665,37596,1,0.08333333333333333,2.659857431641664e-05,0.8333333333333333
