region,metric,split_count,mean,median,std,worst_min,best_max
holdout,pixels,10,367387.8,366433.0,11062.216040800022,356915.0,378338.0
holdout,positives,10,8.5,8.5,3.689323936863109,5.0,12.0
holdout,roc_auc,10,0.7262114997695123,0.7400215125697531,0.2578318725558983,0.4301597696166798,0.98024151746939
holdout,average_precision,10,0.0002555276828692195,0.00023748564509295747,0.00019610029167200688,5.8192761312769406e-05,0.0007137748874555555
holdout,top1_selected_pixels,10,3674.6,3665.0,110.49001965989709,3570.0,3784.0
holdout,top1_captured_positives,10,0.5,0.5,0.5270462766947299,0.0,1.0
holdout,top1_recall,10,0.05333333333333333,0.041666666666666664,0.06610877680286008,0.0,0.2
holdout,top1_precision,10,0.0001338881330949905,0.0001321353065539112,0.00014120618108343728,0.0,0.00028011204481792715
holdout,top1_enrichment,10,5.333333333333333,4.166666666666666,6.610877680286007,0.0,20.0
holdout,top5_selected_pixels,10,18369.6,18322.0,553.0620218384191,17846.0,18917.0
holdout,top5_captured_positives,10,2.6,2.0,1.7126976771553504,1.0,5.0
holdout,top5_recall,10,0.45,0.2833333333333333,0.4042215503018055,0.08333333333333333,1.0
holdout,top5_precision,10,0.00014382089881335958,0.00010889747044414,9.751320933001178e-05,5.2862504625469154e-05,0.00028017482909335425
holdout,top5_enrichment,10,9.0,5.666666666666666,8.084431006036109,1.6666666666666665,20.0
holdout,top10_selected_pixels,10,36739.2,36644.0,1106.1240436768383,35692.0,37834.0
holdout,top10_captured_positives,10,3.7,4.5,1.5670212364724212,1.0,5.0
holdout,top10_recall,10,0.6,0.6666666666666666,0.4263685300966643,0.08333333333333333,1.0
holdout,top10_precision,10,0.00010177794224898826,0.0001229062118988077,4.5088276012711736e-05,2.659857431641664e-05,0.00014008741454667713
holdout,top10_enrichment,10,6.0,6.666666666666666,4.263685300966643,0.8333333333333333,10.0
validation,pixels,10,534711.1,538756.0,5426.218766323378,524812.0,538756.0
validation,positives,10,12.4,14.0,6.310485101972924,4.0,24.0
validation,roc_auc,10,0.8971373834978273,0.865394266136182,0.08576329277304154,0.7915849303176984,0.9984227436742694
validation,average_precision,10,0.003472346594381027,0.0010434439929926874,0.0057954192166303296,0.00022082533973077903,0.019182622614669177
validation,top1_selected_pixels,10,5347.7,5388.0,54.07001633684483,5249.0,5388.0
validation,top1_captured_positives,10,3.6,3.0,1.9550504398153574,2.0,8.0
validation,top1_recall,10,0.40565476190476185,0.26041666666666663,0.31911785163367545,0.125,1.0
validation,top1_precision,10,0.0006742404656878475,0.0005614153044501408,0.0003713539040542056,0.0003711952487008166,0.0015240998285387694
validation,top1_enrichment,10,40.56547619047619,26.041666666666664,31.911785163367547,12.5,100.0
validation,top5_selected_pixels,10,26736.0,26938.0,271.0498109204284,26241.0,26938.0
validation,top5_captured_positives,10,7.4,6.5,4.788875998951459,4.0,20.0
validation,top5_recall,10,0.6824404761904763,0.7023809523809523,0.316479293980694,0.25,1.0
validation,top5_precision,10,0.00027772725312206906,0.00024283942697970594,0.00018326180008304007,0.00014848912317172767,0.0007621660759879578
validation,top5_enrichment,10,13.648809523809524,14.047619047619047,6.32958587961388,5.0,20.0
validation,top10_selected_pixels,10,53471.7,53876.0,542.3936762168232,52482.0,53876.0
validation,top10_captured_positives,10,8.7,8.0,4.522781838156198,4.0,20.0
validation,top10_recall,10,0.7681547619047618,0.7738095238095238,0.23051102792428174,0.375,1.0
validation,top10_precision,10,0.0001632411355833253,0.00014848912317172767,8.669413779868626e-05,7.424456158586383e-05,0.0003810830379939789
validation,top10_enrichment,10,7.681547619047619,7.738095238095238,2.3051102792428173,3.75,10.0
