carbonate_host,lithology_code,dist_faults,moho_depth,lab_depth,gravity,gravity_hgm,mag_rtp,mag_hgm,shape_index,label,x,y,row,col
0.0,5.0,500.0,52.623997,173.07947,78.7057,0.020367203,126.62042,5.4360485e-06,0.10328463,0,-122750.0,-2292750.0,2280,406
0.0,5.0,65654.4,43.76927,173.37881,-34.851357,0.0012157074,154.59242,4.6827645e-06,0.040730163,0,146750.0,-1866250.0,1427,945
0.0,5.0,2000.0,47.684807,194.46745,-9.053103,0.009312273,186.68095,6.3332354e-06,0.30281076,0,226250.0,-2336750.0,2368,1104
0.0,5.0,29124.732,48.531387,197.54199,414.1555,0.009999255,10.505194,1.099175e-05,0.36002374,0,369250.0,-2489250.0,2673,1390
0.0,7.0,0.0,49.103477,200.50436,112.26544,0.019438604,187.42677,4.166877e-06,0.13234554,0,284250.0,-2496750.0,2688,1220
0.0,5.0,16278.82,33.05271,156.37515,429.4968,0.0021515694,154.15564,2.0195419e-06,0.62906,0,-176750.0,-1189250.0,73,298
0.0,5.0,113574.87,42.13576,177.1046,-166.35718,0.008746245,151.22131,5.331502e-06,0.48945037,0,555250.0,-2301250.0,2297,1762
0.0,5.0,8485.281,45.335773,168.67331,49.227066,0.0013916602,158.22868,9.3328896e-07,0.50917774,0,473250.0,-1736750.0,1168,1598
0.0,5.0,4609.7725,45.334602,186.17651,291.66562,0.00845913,137.32207,5.2580726e-06,0.041503664,0,63250.0,-2306250.0,2307,778
0.0,5.0,12020.815,40.390347,169.40263,106.80564,0.0035843255,165.72824,1.7999255e-06,0.4228397,0,-111250.0,-1900250.0,1495,429
0.0,4.0,4242.6406,52.879047,174.80223,9.094727,0.008067223,177.23985,2.79706e-06,0.44982728,0,354250.0,-1764750.0,1224,1360
1.0,1.0,5099.0195,42.911217,187.48973,-92.65529,0.0023834996,83.59925,5.441086e-06,-0.6532181,0,-218250.0,-2455750.0,2606,215
0.0,5.0,12379.418,40.75433,180.86319,-133.71289,0.007059325,152.23846,1.4143809e-05,0.36947805,0,-295250.0,-1923750.0,1542,61
0.0,5.0,23021.729,33.32563,192.77734,-126.5441,0.00477064,170.9328,1.8801551e-06,-0.28649214,0,349250.0,-2714250.0,3123,1350
0.0,5.0,1414.2136,40.8697,183.01639,57.410202,0.016641159,157.96846,1.7107814e-05,0.37068838,0,444750.0,-2630750.0,2956,1541
0.0,5.0,86095.875,41.710854,181.09236,-23.78771,0.0025042605,88.23428,4.9318705e-06,0.49889532,0,537250.0,-2324750.0,2344,1726
0.0,5.0,57118.297,41.01652,175.20613,82.20556,0.0018204693,118.11316,2.1861727e-06,0.5797221,0,524750.0,-2627250.0,2949,1701
0.0,5.0,43289.723,44.383873,188.40904,20.057709,0.00025542293,138.13762,3.8812095e-06,0.9298803,0,24750.0,-1568250.0,831,701
0.0,4.0,6946.222,41.821636,175.77757,-0.98811114,0.00775219,184.33083,2.3791072e-06,0.21860397,0,-305750.0,-1850750.0,1396,40
0.0,5.0,12083.046,36.969128,188.89221,238.53596,0.0031372686,134.76115,3.0903618e-06,0.80766535,0,-27750.0,-1319250.0,333,596
0.0,5.0,16278.82,39.78411,203.0322,-279.9621,0.006655032,187.6531,4.335769e-06,-0.9341513,0,-7750.0,-2673750.0,3042,636
0.0,4.0,19912.309,43.474518,189.54536,101.68134,0.014287354,137.80891,1.7787802e-06,0.74869734,0,-37750.0,-1509750.0,714,576
0.0,5.0,3162.2776,46.326298,195.19601,-751.4887,0.009198398,173.70625,9.873528e-06,-0.8019216,0,-60250.0,-2772750.0,3240,531
0.0,5.0,33871.08,39.552353,167.30203,50.017426,0.012376953,144.16223,4.764947e-07,0.6330756,0,527250.0,-1317750.0,330,1706
0.0,5.0,48386.465,40.50578,157.03165,-12.101257,0.0051861205,150.79709,1.4177829e-06,0.3555505,0,591750.0,-1751250.0,1197,1835
0.0,5.0,4949.7476,42.19635,186.55174,-61.694054,0.0021396948,151.45435,9.481765e-07,0.40526652,0,500750.0,-1811250.0,1317,1653
0.0,5.0,6500.0,45.311035,195.91035,189.05742,0.018725576,105.48016,1.7206039e-05,0.441303,0,402750.0,-2474750.0,2644,1457
0.0,5.0,6500.0,41.609924,182.48965,148.72711,0.004033203,167.2289,1.1740505e-06,0.52865183,0,347750.0,-1499250.0,693,1347
0.0,5.0,2500.0,41.575146,183.25746,88.88457,0.008292902,248.06693,9.109473e-07,0.8399404,0,579250.0,-2504250.0,2703,1810
1.0,1.0,10500.0,44.131454,196.42113,-530.40894,0.011070978,250.0327,7.3708165e-06,-0.89372736,0,98250.0,-2809750.0,3314,848
0.0,4.0,6000.0,42.652523,188.68893,6.343465,0.00248305,134.66307,4.501593e-07,0.78006524,0,82250.0,-1542750.0,780,816
0.0,5.0,8485.281,39.11351,185.5245,-32.543022,0.0076513197,121.08246,8.66585e-07,0.4191761,0,-118250.0,-1540250.0,775,415
0.0,5.0,28398.943,44.32667,161.1217,37.677177,0.0040075528,146.9508,1.334746e-06,0.535625,0,485250.0,-1696750.0,1088,1622
