carbonate_host,lithology_code,dist_faults,moho_depth,lab_depth,gravity,gravity_hgm,mag_rtp,mag_hgm,shape_index,label,x,y
0.0,5.0,30700.162,38.943077,194.15616,143.71259,0.0015109633,136.61871,6.085992e-07,0.7420152,0,229750.0,-1264750.0
0.0,5.0,3807.8865,46.756695,196.86838,110.000145,0.0057650805,199.58029,1.2136453e-05,0.36390325,0,299750.0,-2318250.0
0.0,5.0,1802.7756,44.959385,178.13257,-365.46982,0.020241324,126.20535,7.051313e-06,0.101535,0,-91750.0,-2161250.0
0.0,5.0,75779.28,40.432316,173.74712,2.0061786,0.008266017,152.83107,3.970127e-06,0.2974876,0,-82750.0,-1979750.0
0.0,4.0,6500.0,40.464066,186.02243,-33.633133,0.0024305,159.94968,1.5036634e-06,0.5972102,0,334250.0,-1429750.0
0.0,5.0,70173.0,46.61118,212.39749,-20.955969,0.004317917,153.69572,2.0481348e-06,0.47290182,0,298250.0,-1910750.0
0.0,5.0,155358.45,37.35232,169.32135,-112.28424,0.0040453845,136.24509,1.5092784e-06,-0.11443761,0,556750.0,-2809250.0
0.0,5.0,7433.034,34.08503,204.23657,-107.676384,0.0011081544,136.22238,2.893216e-06,-0.6684179,0,253750.0,-2717750.0
0.0,5.0,10500.0,48.56677,175.64653,190.16083,0.0022016873,182.82637,3.5434134e-06,0.30312544,0,271250.0,-1685750.0
0.0,5.0,2915.4758,41.57643,195.96799,69.23415,0.004057183,122.160385,3.0679312e-06,0.25652027,0,562250.0,-1991750.0
0.0,5.0,78557.305,42.012535,177.12119,-22.085905,0.004135228,153.60838,7.080229e-06,0.33197233,0,480250.0,-2260750.0
1.0,6.0,2061.5527,41.165154,174.38422,-88.47174,0.0022700727,136.49368,2.7741055e-06,-0.31636375,0,-86750.0,-1731750.0
1.0,5.0,55652.94,44.783028,220.91801,0.23590994,0.009465363,118.90707,1.2528196e-06,0.31940678,0,408250.0,-1977250.0
1.0,1.0,500.0,50.70432,171.30933,24.904448,0.0023895237,141.25177,7.769018e-07,0.4679745,0,374750.0,-1691750.0
0.0,5.0,4242.6406,42.778183,187.90904,101.4042,0.012937038,201.51617,1.1234943e-05,0.34013203,0,414750.0,-2603250.0
0.0,5.0,48083.26,42.25984,176.88135,194.97643,0.0032891915,183.23778,6.271248e-06,0.13174383,0,84250.0,-1910750.0
0.0,5.0,12165.525,43.791424,171.78111,8.823302,0.0056805206,155.81789,4.357239e-06,0.44884175,0,-199250.0,-2256750.0
1.0,1.0,11000.0,42.371048,179.95296,-16.431602,0.0035125155,111.89107,2.4507087e-06,0.20705785,0,-304250.0,-2374750.0
0.0,5.0,47214.934,41.88644,172.86052,69.22568,0.0010629676,201.35606,5.155667e-06,0.2566049,0,15750.0,-1807250.0
0.0,5.0,70896.05,44.932133,186.88261,-11.895625,0.009597488,116.495834,5.638658e-07,0.11096904,0,433250.0,-2091750.0
0.0,5.0,11045.361,44.657528,178.36281,44.286797,0.006647406,158.6295,3.4555248e-06,0.45461115,0,338750.0,-1595750.0
0.0,4.0,6363.961,42.987553,220.34247,173.09006,0.015030689,113.96399,8.2410077e-07,0.31729084,0,472750.0,-1939250.0
0.0,5.0,6082.7627,41.672028,173.67429,97.3897,0.005271758,128.61513,5.4448997e-06,0.50745344,0,-195750.0,-2208750.0
0.0,5.0,9192.388,44.858772,177.52362,-423.3472,0.012058324,132.28355,8.1151757e-07,-0.22215252,0,-166250.0,-2376250.0
0.0,5.0,27408.94,36.00611,205.79968,-209.64287,0.007385158,137.30898,3.732031e-06,-0.7377202,0,230250.0,-2715250.0
0.0,4.0,14008.926,51.817623,175.91534,-20.625425,0.008323717,146.47597,1.93539e-06,0.44339305,0,343250.0,-1785250.0
1.0,1.0,4949.7476,42.43721,194.87755,8.958494,0.0036422312,230.37366,2.8837478e-06,0.39073464,0,381750.0,-2333250.0
0.0,5.0,23500.0,43.615112,191.22418,-74.117836,0.013344736,98.10277,9.040861e-06,-0.46235928,0,-284750.0,-2477250.0
1.0,5.0,1118.0339,43.16886,195.76562,-337.479,0.035737436,247.23068,1.2250681e-05,-0.73430735,0,-31750.0,-2508750.0
0.0,5.0,104446.16,42.360424,172.06703,-72.181885,0.002815671,167.08063,2.3703794e-06,0.22823331,0,553750.0,-2156250.0
0.0,5.0,10735.455,42.442703,205.09126,-55.775795,0.0066012866,152.23338,1.267137e-05,0.16583715,0,208250.0,-2090250.0
0.0,5.0,4031.129,38.885513,188.4847,-83.26358,0.0314146,208.4276,1.0506555e-05,-0.51150143,0,-99750.0,-2443250.0
0.0,5.0,64257.297,41.90335,177.90633,130.4319,0.0022149747,175.60158,4.452813e-06,0.19352777,0,561250.0,-2088250.0
0.0,5.0,89533.516,40.841255,173.43668,-121.850945,0.003000986,167.52774,2.9497946e-06,0.22762635,0,-48750.0,-1949250.0
0.0,5.0,119059.86,42.198013,183.92586,-32.012867,0.006307227,150.35535,2.059667e-06,-0.09241257,0,-11750.0,-2065250.0
0.0,5.0,99511.305,48.60494,174.05399,-165.3872,0.007869247,159.94954,3.3709555e-06,0.024546685,0,220750.0,-1835750.0
0.0,6.0,12083.046,44.807373,197.25635,-419.77246,0.008917723,242.80539,1.3101566e-05,-0.93080765,0,118750.0,-2812750.0
0.0,4.0,8321.658,40.02012,171.396,-38.428036,0.0011405319,139.79713,1.8696461e-07,0.33354217,0,636250.0,-1865750.0
1.0,1.0,1118.0339,40.55601,169.41328,87.13323,0.0041781426,126.4122,3.815463e-06,-0.34642622,1,-161750.0,-1750250.0
0.0,5.0,18124.568,47.239105,198.28877,-269.00452,0.004111398,196.3728,9.419925e-07,-0.93818325,0,-94250.0,-2717750.0
